entity_class,match,action,namespace,doc_ids
gene,Fig,drop,ExplosionNERStep,11639
gene,For,drop,ExplosionNERStep,2862
gene,All,drop,ExplosionNERStep,1858
gene,Cell,drop,ExplosionNERStep,1684
gene,IFN,keep,ExplosionNERStep,1612
gene,NF-κB,keep,ExplosionNERStep,1246
gene,MRI,keep,ExplosionNERStep,1195
gene,ATP,keep,ExplosionNERStep,1186
gene,Type,drop,ExplosionNERStep,1081
gene,March,drop,ExplosionNERStep,1073
gene,CD4,keep,ExplosionNERStep,998
gene,April,drop,ExplosionNERStep,976
gene,CD8,keep,ExplosionNERStep,973
gene,Ca2,keep,ExplosionNERStep,802
gene,Impact,drop,ExplosionNERStep,736
gene,CO2,keep,ExplosionNERStep,638
gene,ANOVA,drop,ExplosionNERStep,632
gene,P450,keep,ExplosionNERStep,532
gene,ERK,keep,ExplosionNERStep,528
gene,VEGF,keep,ExplosionNERStep,525
gene,TNF,keep,ExplosionNERStep,517
gene,MHC,keep,ExplosionNERStep,511
gene,CSF,keep,ExplosionNERStep,508
gene,Post,drop,ExplosionNERStep,497
gene,Mice,drop,ExplosionNERStep,458
gene,Aim,drop,ExplosionNERStep,456
gene,Les,keep,ExplosionNERStep,448
gene,Large,drop,ExplosionNERStep,444
gene,16S,drop,ExplosionNERStep,443
gene,PBS,keep,ExplosionNERStep,423
gene,Mass,drop,ExplosionNERStep,419
gene,angiotensin II,keep,ExplosionNERStep,409
gene,AMP,keep,ExplosionNERStep,409
gene,Toll,keep,ExplosionNERStep,400
gene,ATPase,keep,ExplosionNERStep,397
gene,HDL,keep,ExplosionNERStep,391
gene,Rho,keep,ExplosionNERStep,391
gene,FDG,keep,ExplosionNERStep,371
gene,CIN,keep,ExplosionNERStep,338
gene,cytochrome P450,keep,ExplosionNERStep,336
gene,Simple,drop,ExplosionNERStep,330
gene,PI3K,keep,ExplosionNERStep,329
gene,Next,drop,ExplosionNERStep,328
gene,PI3,keep,ExplosionNERStep,311
gene,FOR,drop,ExplosionNERStep,308
gene,Light,drop,ExplosionNERStep,301
gene,Not,drop,ExplosionNERStep,301
gene,APC,keep,ExplosionNERStep,288
gene,Red,drop,ExplosionNERStep,287
gene,SARS,drop,ExplosionNERStep,287
gene,Ang,keep,ExplosionNERStep,286
gene,Angiotensin-converting enzyme,keep,ExplosionNERStep,285
gene,Jun,keep,ExplosionNERStep,284
gene,SDS,keep,ExplosionNERStep,281
gene,Act,drop,ExplosionNERStep,259
gene,Kit,keep,ExplosionNERStep,259
gene,RHD,keep,ExplosionNERStep,254
gene,Cyclin,keep,ExplosionNERStep,249
gene,T-cell receptor,keep,ExplosionNERStep,244
gene,Great,drop,ExplosionNERStep,243
gene,protein B,keep,ExplosionNERStep,240
gene,Hsp70,keep,ExplosionNERStep,236
gene,NADPH,keep,ExplosionNERStep,232
gene,ABC,keep,ExplosionNERStep,232
gene,Sea,drop,ExplosionNERStep,218
gene,TANK,keep,ExplosionNERStep,218
gene,PAP,keep,ExplosionNERStep,217
gene,ERG,keep,ExplosionNERStep,212
gene,Th1,keep,ExplosionNERStep,212
gene,BLAST,drop,ExplosionNERStep,211
gene,SOD,keep,ExplosionNERStep,196
gene,TEM,keep,ExplosionNERStep,196
gene,Arg,drop,ExplosionNERStep,194
gene,IL-17,keep,ExplosionNERStep,194
gene,FOS,keep,ExplosionNERStep,193
gene,ACE,keep,ExplosionNERStep,190
gene,B12,keep,ExplosionNERStep,188
gene,EST,keep,ExplosionNERStep,185
gene,GPI,keep,ExplosionNERStep,185
